Horizontal_CrossSection
Part 1 of 1

Smoothing Parameters
Kernel Radius : 8
Kernel Width : 17
Boundary Method : Adaptive
Alpha Blend : 1

Generated : 12/18/2025 12:01:50 AM

Initial Dataset,Binomial Median Filtering,Gaussian Weighted Median Filtering
7,6,6
5,6,6
1,6,6
8,6,6
6,6,6
7,6,6
5,6,6
7,6,6
5,5,6
8,5,6
3,5,7
3,7,7
7,7,7
8,8,8
10,8,8
8,8,8
5,10,10
16,10,10
10,10,10
11,10,10
10,10,10
10,10,10
2,6,6
6,5,5
5,5,5
0,5,5
5,5,5
8,5,5
3,5,5
2,6,6
7,6,7
6,7,7
7,7,7
12,7,7
10,7,7
7,7,7
10,7,7
6,6,6
5,6,6
6,6,6
4,6,6
8,6,6
3,6,6
6,6,6
5,6,6
6,6,6
7,6,6
10,7,7
5,7,7
7,7,7
8,7,7
4,7,6
8,6,6
5,6,6
6,6,6
6,6,6
11,6,6
6,6,6
7,6,6
6,7,7
7,7,7
6,7,7
8,7,7
8,8,7
7,8,7
11,7,7
6,7,7
6,7,7
8,7,7
8,6,6
0,6,6
5,6,6
7,6,6
6,6,7
10,7,7
5,7,7
7,7,7
8,7,7
6,7,7
7,7,7
10,7,7
5,7,7
4,7,7
10,7,7
7,7,7
12,7,7
4,7,7
7,7,7
7,7,7
2,5,7
2,5,7
7,7,7
5,7,7
9,7,7
7,7,7
11,8,7
7,8,8
8,8,8
11,8,8
5,8,8
8,6,7
4,5,6
5,5,6
12,5,6
5,6,6
10,6,6
6,7,7
8,7,7
3,7,7
10,7,7
7,7,7
3,7,6
12,6,6
6,6,6
5,5,6
5,5,5
8,5,5
5,5,6
7,6,6
2,6,6
6,6,6
6,6,6
5,6,6
8,6,6
3,8,8
14,8,8
8,8,8
8,8,8
11,8,7
6,6,6
6,6,6
6,6,6
6,6,6
7,6,6
6,6,6
3,6,6
6,6,6
7,6,6
8,7,6
5,6,6
8,6,6
6,6,6
6,6,6
6,6,6
5,6,6
3,6,6
8,7,7
11,7,7
7,7,7
7,7,7
10,7,7
1,7,7
0,5,7
5,7,7
12,8,8
8,8,8
10,8,8
7,8,8
10,8,8
6,7,7
8,6,6
6,6,6
6,6,6
5,6,6
8,6,6
5,6,6
11,6,6
6,6,6
1,6,5
7,5,5
5,5,5
3,5,5
5,5,5
5,5,5
7,7,6
11,7,7
8,7,7
0,8,7
6,8,8
11,8,8
12,8,8
8,8,6
3,3,6
1,3,3
3,3,3
3,3,7
8,8,8
13,8,8
8,8,8
8,8,8
7,8,8
6,7,7
10,7,7
7,7,7
7,7,7
8,7,7
5,7,7
1,8,8
8,8,8
8,8,8
13,8,8
5,8,8
8,8,8
2,8,8
12,10,8
10,10,8
10,8,6
6,6,6
6,6,6
6,6,6
5,6,6
3,6,6
6,6,6
8,6,6
10,6,6
3,5,5
5,5,5
3,5,5
10,5,5
7,5,5
5,5,5
3,5,5
8,5,5
2,5,7
7,7,7
3,7,7
7,7,7
8,7,7
8,7,7
7,7,7
6,7,7
7,6,6
3,6,6
6,6,6
6,6,6
3,6,6
6,6,6
5,6,6
6,6,6
11,6,6
7,7,6
5,7,6
7,6,7
6,6,7
3,7,7
7,7,7
7,7,7
11,7,7
8,7,7
6,7,7
7,7,7
7,7,7
8,7,7
6,7,7
10,8,7
11,7,7
4,6,6
4,6,6
6,6,6
8,6,6
12,6,6
6,6,6
3,6,6
5,6,7
10,7,7
7,8,8
11,8,8
8,8,8
8,8,8
7,8,8
4,8,8
11,8,8
12,8,8
5,8,8
8,8,8
8,8,8
1,8,7
8,7,7
7,7,7
4,7,7
7,7,7
7,7,7
8,8,7
8,8,7
8,8,7
6,7,7
6,6,7
7,6,7
5,7,7
11,7,7
7,7,7
6,7,7
1,7,7
10,8,8
8,8,8
8,8,8
8,8,8
8,8,8
1,8,8
5,7,7
10,7,7
7,7,7
7,7,7
4,7,7
4,5,7
10,5,7
1,5,7
8,8,7
5,8,8
8,8,8
10,8,8
7,8,7
10,7,7
1,6,6
6,6,6
5,5,6
5,5,6
8,6,6
8,8,6
5,8,7
10,8,8
2,8,8
8,8,8
5,8,8
10,5,5
4,5,5
10,5,5
0,5,5
16,5,6
5,5,6
3,6,6
8,6,7
6,7,7
10,7,7
7,7,7
7,7,7
4,7,7
6,7,7
11,7,7
7,7,7
15,7,7
12,7,7
5,7,7
7,6,6
5,5,6
2,5,6
6,5,6
4,6,6
7,6,6
7,7,7
5,7,7
10,10,10
11,10,10
10,10,10
10,10,10
10,10,10
6,7,7
7,6,7
6,6,6
4,6,6
7,6,6
4,6,6
6,6,6
7,6,6
6,7,6
10,7,6
10,6,6
3,6,6
5,6,6
6,6,6
8,6,6
5,7,7
8,7,7
7,7,7
4,7,7
12,8,7
10,8,7
6,7,7
13,7,7
7,6,7
4,6,6
4,6,6
6,6,6
7,6,7
6,7,7
11,7,7
8,8,7
7,8,7
11,7,7
2,7,7
5,7,7
8,7,7
7,7,7
8,7,7
5,5,5
2,5,5
1,5,5
7,5,5
8,7,7
5,7,7
9,8,7
5,8,8
10,8,8
8,8,8
5,8,8
7,7,7
10,7,7
18,7,7
2,5,7
5,5,7
5,7,7
8,8,7
11,8,8
7,8,8
10,10,8
12,7,7
6,6,6
5,6,6
6,6,6
10,6,6
5,5,5
4,5,5
4,5,5
6,5,5
4,5,5
10,6,5
12,6,5
5,5,5
5,5,5
8,5,5
2,5,5
5,5,5
0,5,7
10,8,8
8,8,8
8,8,8
10,8,8
7,8,8
5,8,8
10,10,8
12,10,8
5,10,8
10,5,7
4,5,5
1,5,5
16,5,7
5,8,7
11,8,7
8,7,7
7,7,7
2,7,7
4,7,7
10,7,7
7,9,8
23,9,9
15,9,9
6,9,9
9,9,9
9,9,9
7,9,9
10,9,9
11,8,8
5,8,7
8,5,7
5,5,5
2,5,5
5,5,7
7,7,7
7,7,7
11,7,7
5,8,8
12,10,10
8,10,10
10,10,10
10,10,10
11,10,10
4,11,10
12,11,11
18,11,10
11,11,10
7,10,10
10,7,9
7,7,7
4,7,7
9,7,7
7,7,7
10,9,7
2,9,7
11,10,7
11,7,7
5,6,7
6,6,7
4,6,8
11,8,8
10,9,8
8,8,8
9,8,8
6,6,8
6,6,7
5,6,7
9,7,7
9,9,7
6,7,7
10,7,7
7,7,7
5,7,7
7,7,7
9,7,7
0,5,7
0,5,7
7,7,7
4,7,7
9,7,7
10,7,7
7,7,7
7,7,7
13,7,7
15,7,7
7,7,7
5,6,6
6,5,6
5,5,6
2,5,5
8,5,5
4,5,6
6,6,6
4,6,6
7,7,7
15,8,7
8,8,8
11,10,8
5,10,8
11,10,8
10,10,8
7,7,7
6,7,7
11,7,7
6,6,7
1,6,7
9,6,7
11,9,9
6,9,9
6,10,10
10,10,10
11,10,10
10,10,10
11,10,10
5,10,10
10,10,10
5,10,10
10,10,9
11,9,9
7,7,7
7,7,7
9,7,7
4,7,7
9,7,7
7,7,7
7,7,7
5,7,7
10,7,7
6,7,7
9,9,7
12,6,7
6,6,6
5,6,6
6,6,9
9,9,9
11,9,9
10,10,9
5,10,9
10,10,9
9,9,9
10,9,9
9,9,9
9,9,9
6,9,9
11,7,7
6,6,6
7,6,6
3,5,6
5,5,5
4,5,5
9,5,5
0,5,5
5,9,9
9,9,9
9,9,9
10,10,9
12,10,9
22,10,9
9,10,9
10,9,9
9,9,9
4,9,9
9,9,9
5,9,9
9,9,9
15,9,9
10,9,9
9,9,9
6,9,9
10,9,9
4,9,9
14,9,9
2,9,9
10,9,9
9,9,9
14,9,9
4,9,9
5,6,9
10,6,9
6,9,6
14,9,6
9,6,6
3,5,6
4,4,5
4,5,5
12,5,6
5,6,6
6,6,6
9,6,6
6,6,6
11,9,9
6,9,9
12,9,9
9,9,9
11,9,9
6,8,9
6,8,9
8,8,8
10,10,8
10,10,8
17,9,8
6,6,8
6,6,7
5,6,7
9,7,7
8,7,7
7,7,7
4,7,7
9,7,7
4,7,7
9,7,7
5,8,8
9,8,8
4,8,8
8,8,8
9,8,8
6,8,8
10,6,8
6,6,8
6,8,8
8,8,8
12,9,9
9,9,9
11,9,9
9,9,9
5,8,9
6,8,8
8,8,8
9,8,8
6,9,9
9,9,9
9,9,9
5,9,9
9,9,9
9,9,9
9,9,9
11,9,9
9,9,9
3,9,9
3,6,9
11,6,9
5,6,9
11,9,9
6,9,9
14,9,9
9,9,9
8,9,9
11,8,9
6,8,8
5,8,8
11,8,8
12,8,8
5,8,8
5,8,8
9,8,8
9,8,8
8,8,8
6,8,8
9,8,8
4,6,6
8,6,6
6,6,6
5,6,6
8,6,6
4,5,6
4,6,6
6,6,6
8,8,8
8,8,8
8,8,8
10,8,8
3,8,8
9,8,8
5,9,9
9,9,9
8,9,9
15,9,9
10,10,9
16,9,9
9,9,9
9,9,9
5,9,9
5,8,8
9,8,8
8,8,8
6,8,8
10,8,8
8,8,8
6,8,8
11,9,9
9,9,9
9,9,9
6,9,9
8,9,9
10,9,9
13,9,9
9,9,9
8,8,9
8,8,9
6,9,9
11,9,9
9,11,9
11,11,11
11,11,11
11,11,11
5,9,9
8,9,9
13,9,9
9,8,8
5,8,8
8,8,8
10,8,8
6,8,8
8,8,8
11,8,8
6,6,8
5,6,6
9,6,6
4,6,6
11,6,8
4,9,9
9,9,9
5,9,9
12,9,9
9,9,9
9,9,9
9,9,9
10,9,9
10,9,9
6,10,10
6,10,10
14,10,10
11,11,10
11,11,8
5,8,8
6,6,6
8,6,6
6,6,6
14,6,6
2,6,6
6,6,6
