LongAxis_CrossSection
Part 1 of 1

Smoothing Parameters
Kernel Radius : 8
Kernel Width : 17
Polynomial Order : 4

Generated : 8/30/2025 5:03:11 PM

Initial Dataset,Rectangular Averaging,Binomial Averaging,Binomial Median Filtering,Gaussian Filtering,Savitzky–Golay Filtering
12,18.8888888888889,10.0356605361835,12,11.0980040542588,6.52679209335554
7,20.7,10.3233813162727,12,11.8112127417008,8.76494403429386
12,21.9090909090909,11.3863702238666,8,13.2835542641767,10.9954751131222
8,22.6666666666667,13.690902743617,8,15.5420616632171,12.0971659919028
3,23.3846153846154,17.3963509616126,12,18.5003970738404,16.6899261728983
32,24,21.9925075306962,31,21.8114913892257,21.9835675160752
33,24.8,26.4518383980219,32,25.0863770357433,26.9154560609669
31,25.3125,29.8747081712062,32,27.9364657808166,31.2657775660871
32,24.2941176470588,31.951904296875,32,30.0394165555106,32.9568944986901
37,23.9411764705882,32.8860321044922,32,31.3156883961893,35.0245296499166
34,24.1176470588235,33.0618591308594,32,31.7841373792386,36.8937842343415
31,23.7647058823529,32.77294921875,32,31.4511388709314,35.6611097880448
32,24,32.0157318115234,32,30.3403265687216,33.5525125029769
32,24.2352941176471,30.4062957763672,32,28.4115409630741,31.9426053822339
36,22.8235294117647,27.4497222900391,32,25.6798550114552,27.9166468206716
33,21.3529411764706,23.1153717041016,32,22.3863478554385,22.8452012383901
8,20.2352941176471,18.1676635742188,10,18.8951907015788,18.0395332221958
6,18.8235294117647,13.7932891845703,8,15.6263065575807,13.3503215051202
10,18.8235294117647,10.8232879638672,8,13.0167246671144,10.6191950464396
6,19.1176470588235,9.31344604492188,8,11.2933134776031,6.75922838771134
12,19.2352941176471,8.81617736816406,8,10.5280009393899,3.99237913788995
7,19.2352941176471,8.96585083007813,8,10.730613911645,4.28221005001188
8,19.4705882352941,9.83697509765625,8,11.9133247419893,7.82900690640626
8,19.4705882352941,11.8595123291016,8,14.050174682672,11.8690164324839
12,19.8235294117647,15.3837127685547,8,17.0437309198796,15.0583472255299
8,21.5294117647059,20.1829681396484,12,20.6344202665985,19.7863777089783
37,23.0588235294118,25.3289794921875,33,24.3663743141858,25.0535841867111
39,24.2941176470588,29.6804046630859,33,27.8015997969319,30.0412002857823
33,26.4117647058824,32.6112060546875,36,30.6458669883068,35.3641343176947
32,26,34.2681884765625,36,32.6509269594651,35.6270540604906
36,25.8235294117647,35.15478515625,36,33.8328083512855,37.5005953798523
36,25.7058823529412,35.5722351074219,36,34.1972879654799,38.7270778756847
39,25.8235294117647,35.4474487304688,36,33.7310733009885,38.4767801857585
37,25.7058823529412,34.4833374023438,36,32.3634730931248,35.995951417004
32,25.5294117647059,32.3114318847656,36,30.0507302540859,34.1128840200047
31,23.9411764705882,28.6497039794922,32,26.847419588027,29.8883067396999
42,22.1176470588235,23.6368560791016,31,23.0551715588779,23.5220290545368
5,20.8235294117647,18.1089630126953,6,19.1177538668133,17.4462967373184
4,19.4117647058824,13.3197021484375,6,15.50984737919,12.0583472255299
6,19.2352941176471,10.1684112548828,6,12.6830872445388,9.26839723743747
10,19.5294117647059,8.69525146484375,8,10.8647914031984,6.56846868301974
10,19.1764705882353,8.34475708007813,10,10.0805063030506,3.76994522505356
5,19,8.6322021484375,10,10.3098204143148,3.77089783281731
10,19,9.55552673339844,10,11.5105561946744,6.78018575851391
8,18.8823529411765,11.5205535888672,10,13.6314088391991,11.8804477256489
11,18.4705882352941,14.9217224121094,10,16.558408771181,14.8904501071684
8,20.4705882352941,19.6291351318359,11,20.0755962575069,20.0404858299595
33,22.4117647058824,24.7617340087891,33,23.6988535425704,24.9716599190283
41,24.2941176470588,29.0754699707031,33,26.9950564402751,29.6982614908311
33,26,31.7575531005859,33,29.6561844673904,33.0864491545606
34,26.0588235294118,32.9208984375,33,31.539800553183,33.4367706596809
32,26.1764705882353,33.3560943603516,33,32.7406915428457,35.4820195284591
29,26.1176470588235,33.8247528076172,34,33.3630268620747,36.9654679685639
35,26.7647058823529,34.4952392578125,35,33.4462158374603,37.6746844486782
39,26.7647058823529,34.8423004150391,37,32.8314182930339,35.5994284353417
37,26.7647058823529,33.9745330810547,37,31.348484207695,34.8190045248869
38,25.2352941176471,31.2222290039063,37,28.9032316138571,32.2724458204334
39,23.4705882352941,26.7133483886719,37,25.7074939150015,27.7725648964039
11,21.9411764705882,21.4984588623047,11,22.1580748120785,22.3605620385806
7,20.3529411764706,16.9552764892578,11,18.7176845846903,16.8168611574184
9,18.8823529411765,13.8816833496094,11,15.7651033911149,12.0864491545606
19,19.0588235294118,12.1209259033203,11,13.5228269166922,10.6661109788045
11,18.8235294117647,11.0213623046875,9,11.9705331985341,8.46892117170753
8,18.7647058823529,10.1359100341797,8,11.0940966337749,7.34651107406523
7,18.8235294117647,9.49813842773438,8,10.9211853838256,7.38461538461536
11,18.8823529411765,9.49029541015625,7,11.5648693399156,8.2860204810669
7,18.6470588235294,10.6448974609375,7,13.1565530068499,8.01428911645628
7,19.9411764705882,13.4192199707031,7,15.7621303112876,11.0735889497499
7,21.7058823529412,17.8406372070313,7,19.1920363070113,16.9604667778042
32,23.4705882352941,23.2505187988281,31,23.0780083670826,24.0788282924506
31,24.5294117647059,28.5067443847656,32,26.9166523250118,29.3379376041915
38,24.2352941176471,32.5714416503906,37,30.1873046518026,32.4293879495118
38,24.2352941176471,35.0005340576172,38,32.5522708997974,37.2331507501786
39,24.2352941176471,35.985107421875,38,33.8320080596799,40.8154322457728
35,23.9411764705882,35.9824066162109,37,33.9755295351535,41.0571564658252
33,23.8235294117647,35.2086486816406,37,32.9917757794593,38.6249106930221
37,23.5294117647059,33.3704681396484,37,30.8835373774029,34.3250773993808
39,23.5882352941176,29.9486389160156,37,27.7536210758283,31.0357227911407
37,22.3529411764706,24.8856811523438,37,23.8295801765989,25.0781138366278
6,21,18.9905090332031,8,19.5761461712522,18.7244582043343
8,19.2352941176471,13.5570373535156,7,15.5072188519285,12.5606096689688
7,17.4705882352941,9.56367492675781,7,12.1007342178104,7.62681590854964
6,17.4705882352941,7.25619506835938,6,9.70927484831933,5.55465587044532
5,17.3529411764706,6.3565673828125,6,8.40193132425856,2.68040009526075
2,17.5294117647059,6.46089172363281,6,8.14783063084424,2.59418909264108
8,17.2941176470588,7.27044677734375,8,8.852975627783,4.37485115503689
11,17,8.72419738769531,8,10.4642829810595,7.40723981900451
8,17.1176470588235,11.0738067626953,8,12.9420407229599,9.69635627530363
8,18.8235294117647,14.6714324951172,8,16.1877447337127,14.2838771135985
8,20.5882352941176,19.4553375244141,8,19.9215429080799,19.7825672779233
39,22.4117647058824,24.6551818847656,33,23.7898394640231,25.1174089068826
33,24.0588235294118,29.1746978759766,33,27.3794348963065,29.6051440819243
36,24.4705882352941,32.3307189941406,34,30.3175668067952,32.4234341509883
33,24.7058823529412,34.1830444335938,34,32.4151256013386,36.502024291498
34,24.7058823529412,35.1907196044922,35,33.5893955379189,39.772088592522
39,24.6470588235294,35.6375732421875,35,33.806457181956,40.1905215527507
35,24.4705882352941,35.3348236083984,36,32.9967740155646,37.7416051440819
38,24.4705882352941,33.7401123046875,36,31.1084658891531,34.4191474160514
38,24.5882352941176,30.3927764892578,35,28.1974203235967,31.9571326506311
34,23,25.4284210205078,34,24.4920288513506,26.0428673493689
12,21.5882352941176,19.7637481689453,12,20.4903115519226,19.6087163610383
6,19.9411764705882,14.6784210205078,10,16.7017805892749,13.3312693498452
8,18.4117647058824,11.0935211181641,8,13.5767194620173,8.79590378661584
10,18.3529411764706,9.18475341796875,8,11.4036385142707,7.74613003095973
5,18.1764705882353,8.56605529785156,8,10.2031425620684,5.91474160514406
8,18.3529411764706,8.70379638671875,8,9.90224111585201,5.63253155513215
10,18.1176470588235,9.2218017578125,9,10.3864698002502,6.43534174803522
12,18.0588235294118,10.0911102294922,9,11.6444761895927,8.55036913550843
9,17.9411764705882,11.7054138183594,9,13.6947597927016,9.97285067873302
8,19.1764705882353,14.6357269287109,9,16.5416091190216,13.8809240295308
7,20.8235294117647,19.0481567382813,9,19.991043870037,19.3655632293403
33,22.5294117647059,24.2784576416016,33,23.6902300073875,25.1059776137175
