PM_Data_Sample
Part 1 of 1

Smoothing Parameters
Kernel Radius : 13
Kernel Width : 27
Polynomial Order : 4

Generated : 8/21/2025 4:40:45 PM

Initial Dataset,Rectangular Averaging,Binomial Averaging,Binomial Median Filtering,Gaussian Filtering,Savitzky–Golay Filtering
5,5.14285714285714,5.1540337061291,5,5.19410888826654,5.21907863272665
5,5.06666666666667,5.19186051219241,5,5.19335899945599,5.1736131934033
5,5.125,5.22769051635638,5,5.19400379560006,5.25424921947628
6,5.17647058823529,5.25568679235832,5,5.19352894582683,5.26500298237978
5,5.16666666666667,5.26916986616947,5,5.18952992708614,5.1971293922931
5,5.10526315789474,5.26266377481752,5,5.18042571579603,5.12680004083979
6,5.1,5.23450992224682,5,5.16767197649114,5.18621764386624
5,5.04761904761905,5.18847280414696,5,5.14905498075882,5.11286829703428
5,5.04545454545455,5.13301372843633,5,5.12922245255715,5.171360556281
5,5.04347826086957,5.07868181569457,5,5.1076851312331,5.21756003718571
5,5,5.03549361964694,5,5.08380127997281,5.10814485230503
5,4.96,5.01129416085694,5,5.0604531416368,5.06937498992439
5,4.96153846153846,5.00981903090803,5,5.03723210639213,5.08789691175917
5,4.96296296296296,5.02708427608013,5,5.01255722232328,5.06706539203517
4,4.96296296296296,5.04842080175877,5,4.98516904207063,5.025770985475
6,4.96296296296296,5.05157047510147,5,4.95399961715172,4.98249799831267
6,4.96296296296296,5.01770289242268,5,4.91875280745264,4.95532448829349
5,4.92592592592593,4.94359888136387,5,4.87960336244129,4.84598023568861
4,4.92592592592593,4.84452927112579,5,4.84045710150425,4.79540229885057
5,4.92592592592593,4.74476972222328,5,4.80320943003283,4.77377332838957
4,4.88888888888889,4.66421693563461,5,4.77080883359884,4.67530750753655
5,4.96296296296296,4.61230929195881,5,4.75111627486117,4.71459216628245
5,4.96296296296296,4.59152537584305,5,4.74216797102239,4.59517015685705
4,4.96296296296296,4.60287511348724,5,4.74701108037843,4.54019119472522
4,5,4.64598836004734,5,4.76719652818581,4.58130074747572
5,5,4.71495249867439,5,4.79996561770876,4.57979612344365
5,5,4.79694648087025,5,4.84400184070746,4.63658815753414
5,5,4.87754143774509,5,4.89659929493441,4.73664565566679
5,5.03703703703704,4.94896906614304,5,4.95536933165511,4.98087945274675
5,5,5.01423032581806,5,5.01456775985564,5.11464482812357
5,5,5.08327774703503,5,5.07452005611961,5.2181027765687
5,5,5.16368865966797,5,5.13077174461728,5.23035793930991
5,5.03703703703704,5.25233870744705,5,5.18061341772033,5.3169146609491
5,5,5.33415850996971,5,5.21855211868381,5.28772173053258
7,5.03703703703704,5.38929185271263,5,5.24643974687051,5.40896003611098
5,5.07407407407407,5.40392078459263,5,5.26214550995508,5.46758341259478
5,5.03703703703704,5.37756037712097,5,5.26402527258424,5.32610791378504
6,5.07407407407407,5.32286670804024,5,5.25632773591179,5.33257349819714
5,5.11111111111111,5.2593632042408,5,5.23916684380114,5.35619931969499
5,5.11111111111111,5.20500093698502,5,5.21429821273209,5.31328744230035
5,5.11111111111111,5.1688614487648,5,5.18517143831619,5.25051452768239
5,5.14814814814815,5.14772036671638,5,5.15505553973851,5.21577598297625
5,5.18518518518519,5.12896332144737,5,5.12534066133218,5.12903010860161
6,5.22222222222222,5.09956049919128,5,5.09810858128537,5.0223178733214
5,5.18518518518519,5.05561403930187,5,5.07285852614792,4.84265501657773
5,5.18518518518519,5.00506526231766,5,5.05386778122965,4.83310817709425
4,5.18518518518519,4.96160815656185,5,5.042127471756,4.88321968048234
5,5.18518518518519,4.93606436252594,5,5.03893282954771,5.0005051237822
6,5.11111111111111,4.93321597576141,5,5.043394029658,4.96262728850628
4,5.11111111111111,4.95511347055435,5,5.05843394161741,5.02850725175047
5,5.11111111111111,5.00429952144623,5,5.07966876286679,5.11840101454649
5,5.11111111111111,5.08091093599796,5,5.10483377384224,5.16019947015739
5,5.07407407407407,5.17538905143738,5,5.12899613055421,5.11189781453359
5,5.07407407407407,5.26496408879757,5,5.149573352285,5.17232351566152
6,5.14814814814815,5.3204505443573,5,5.16551880250215,5.30791915870022
6,5.18518518518519,5.3212652951479,5,5.17323004324072,5.30278409182506
6,5.18518518518519,5.26838804781437,5,5.17283233563107,5.25192779954109
4,5.14814814814815,5.1849802583456,5,5.16651935958599,5.1441784484102
5,5.18518518518519,5.10359942913055,5,5.16080842182272,5.13485300360572
5,5.14814814814815,5.04948875308037,5,5.15527160176237,5.00022354414191
5,5.18518518518519,5.03161139786243,5,5.15644857350745,5.08487691638052
5,5.18518518518519,5.04561275243759,5,5.1638907363234,5.13985587851236
5,5.14814814814815,5.08345632255077,5,5.17833596380893,5.08817634193656
5,5.18518518518519,5.14076985418797,5,5.2004722972055,5.1696549574675
6,5.14814814814815,5.21619303524494,5,5.22258580076487,5.17539187395549
4,5.11111111111111,5.30399550497532,5,5.24192364417177,5.23840230422423
5,5.11111111111111,5.3874621540308,5,5.25467936799647,5.38286878066343
7,5.07407407407407,5.44109785556793,5,5.25456686822098,5.46973502496064
6,5,5.44253654778004,5,5.238295691424,5.49031935645081
5,4.96296296296296,5.38565790653229,5,5.20667764527338,5.49075247322575
5,4.88888888888889,5.28428074717522,5,5.15811147127544,5.30643710402863
6,4.88888888888889,5.16347405314445,5,5.09655225788683,5.243867313655
4,4.85185185185185,5.04530836641788,5,5.02218632063118,5.12909136829435
5,4.81481481481481,4.93905004858971,5,4.94001286340507,5.00315111261574
5,4.81481481481481,4.84129174053669,5,4.85502193747695,4.91094775193049
5,4.77777777777778,4.74415755271912,5,4.76886969111551,4.73089369293848
