PM10 Sensor Readings with AQI
Part 1 of 1

Smoothing Parameters
Kernel Radius : 6
Kernel Width : 13
Boundary Method : Adaptive
Polynomial Order : 5
Derivative Order : 0

Generated : 11/14/2025 10:06:33 PM

Initial Dataset,Rectangular Averaging,Binomial Averaging,Binomial Median Filtering,Gaussian Filtering,Savitzky–Golay Filtering
5,5.28571428571429,5.328125,5,5.35519171593372,4.97285067873629
5,5.25,5.328125,5,5.32426876366309,5.04411764705825
5,5.22222222222222,5.328125,5,5.32303062374122,5.21040723981882
6,5.2,5.328125,5,5.31754800270723,5.35839160839163
5,5.18181818181818,5.322265625,5,5.30828024381753,5.43068696009872
5,5.16666666666667,5.30615234375,5,5.2979834986248,5.41341011929247
6,5.15384615384615,5.279296875,5,5.25535977762587,5.32373508844097
5,5.15384615384615,5.20947265625,5,5.19951557210703,5.19127930892637
5,5.07692307692308,5.12353515625,5,5.12943651340126,5.03373097490744
5,5.15384615384615,5.05126953125,5,5.0658799189612,5.21719457013575
5,5.15384615384615,5.003173828125,5,5.01686616557317,4.96380090497738
5,5.15384615384615,4.96826171875,5,4.98855721342946,4.73632250102838
5,5.07692307692308,4.948974609375,5,4.98380690258469,4.82928835870012
5,5,4.978271484375,5,5.01251569467658,5.04031262854792
4,4.92307692307692,5.072265625,5,5.06433029320863,5.13903743315508
6,4.92307692307692,5.1689453125,5,5.10093121074623,5.31468531468531
6,4.92307692307692,5.1611328125,5,5.07583660273054,5.25997531879885
5,4.84615384615385,5.01318359375,5,4.97500794652162,5.02468120115179
4,4.76923076923077,4.808837890625,5,4.8357454249363,4.85849444672974
5,4.76923076923077,4.6611328125,5,4.71315464233942,4.7145207733443
4,4.76923076923077,4.6025390625,5,4.63297617282648,4.38914027149321
5,4.84615384615385,4.58154296875,5,4.58882894385634,4.46606334841629
5,4.76923076923077,4.549072265625,5,4.56337383176724,4.53311394487865
4,4.69230769230769,4.5244140625,5,4.56582945151143,4.51090086384204
4,4.69230769230769,4.564697265625,5,4.61191086750874,4.48498560263266
5,4.76923076923077,4.682861328125,5,4.70063894766284,4.67420814479638
5,4.76923076923077,4.8251953125,5,4.80468356763754,4.74907445495681
5,4.84615384615385,4.93017578125,5,4.89564281594086,5.01028383381324
5,5,4.9814453125,5,4.96152273490206,5.22747840394899
5,5,5.002685546875,5,5.00888623192681,4.87330316742081
5,5.07692307692308,5.031982421875,5,5.06317203316545,4.84368572603867
5,5.23076923076923,5.107666015625,5,5.14554233495283,5.13574660633484
5,5.23076923076923,5.24462890625,5,5.25397676169889,5.23940765117236
5,5.23076923076923,5.40283203125,5,5.36545014421975,5.43809132044426
7,5.23076923076923,5.5048828125,5,5.43994337118691,5.60222130810366
5,5.23076923076923,5.507568359375,5,5.45241942569989,5.65405183052242
5,5.23076923076923,5.43505859375,5,5.40703513506162,5.56766762649115
6,5.30769230769231,5.333251953125,5,5.33012592851388,5.41423282599753
5,5.30769230769231,5.228515625,5,5.24597277085133,5.05429864253394
5,5.30769230769231,5.142822265625,5,5.17988367896874,4.94199917729329
5,5.23076923076923,5.107666015625,5,5.14554233495283,5.13574660633484
5,5.07692307692308,5.134033203125,5,5.14125508271878,5.18634306869601
5,5.15384615384615,5.180419921875,5,5.14921973769157,5.26614561908679
6,5.07692307692308,5.1748046875,5,5.1266836082462,5.1517893870835
5,5,5.085693359375,5,5.06608909188259,5.11229946524064
5,5,4.965087890625,5,4.99181089343225,5.01439736733854
4,5,4.895263671875,5,4.93596668791341,4.88194158782394
5,5,4.895263671875,5,4.91303071851986,4.78403948992184
6,5.07692307692308,4.91455078125,5,4.91496490554704,4.83504730563554
