Pixel,mm,Value (Cnt)
0,0.000,7.000
1,0.010,5.000
2,0.020,1.000
3,0.030,8.000
4,0.040,6.000
5,0.050,7.000
6,0.060,5.000
7,0.070,7.000
8,0.080,5.000
9,0.090,8.000
10,0.100,3.000
11,0.110,3.000
12,0.120,7.000
13,0.130,8.000
14,0.140,10.000
15,0.150,8.000
16,0.160,5.000
17,0.170,16.000
18,0.180,10.000
19,0.190,11.000
20,0.200,10.000
21,0.210,10.000
22,0.220,2.000
23,0.230,6.000
24,0.240,5.000
25,0.250,0.000
26,0.260,5.000
27,0.270,8.000
28,0.280,3.000
29,0.290,2.000
30,0.300,7.000
31,0.310,6.000
32,0.320,7.000
33,0.330,12.000
34,0.340,10.000
35,0.350,7.000
36,0.360,10.000
37,0.370,6.000
38,0.380,5.000
39,0.390,6.000
40,0.400,4.000
41,0.410,8.000
42,0.420,3.000
43,0.430,6.000
44,0.440,5.000
45,0.450,6.000
46,0.460,7.000
47,0.470,10.000
48,0.480,5.000
49,0.490,7.000
50,0.500,8.000
51,0.510,4.000
52,0.520,8.000
53,0.530,5.000
54,0.540,6.000
55,0.550,6.000
56,0.560,11.000
57,0.570,6.000
58,0.580,7.000
59,0.590,6.000
60,0.600,7.000
61,0.610,6.000
62,0.620,8.000
63,0.630,8.000
64,0.640,7.000
65,0.650,11.000
66,0.660,6.000
67,0.670,6.000
68,0.680,8.000
69,0.690,8.000
70,0.700,0.000
71,0.710,5.000
72,0.720,7.000
73,0.730,6.000
74,0.740,10.000
75,0.750,5.000
76,0.760,7.000
77,0.770,8.000
78,0.780,6.000
79,0.790,7.000
80,0.800,10.000
81,0.810,5.000
82,0.820,4.000
83,0.830,10.000
84,0.840,7.000
85,0.850,12.000
86,0.860,4.000
87,0.870,7.000
88,0.880,7.000
89,0.890,2.000
90,0.900,2.000
91,0.910,7.000
92,0.920,5.000
93,0.930,9.000
94,0.940,7.000
95,0.950,11.000
96,0.960,7.000
97,0.970,8.000
98,0.980,11.000
99,0.990,5.000
100,1.000,8.000
101,1.010,4.000
102,1.020,5.000
103,1.030,12.000
104,1.040,5.000
105,1.050,10.000
106,1.060,6.000
107,1.070,8.000
108,1.080,3.000
109,1.090,10.000
110,1.100,7.000
111,1.110,3.000
112,1.120,12.000
113,1.130,6.000
114,1.140,5.000
115,1.150,5.000
116,1.160,8.000
117,1.170,5.000
118,1.180,7.000
119,1.190,2.000
120,1.200,6.000
121,1.210,6.000
122,1.220,5.000
123,1.230,8.000
124,1.240,3.000
125,1.250,14.000
126,1.260,8.000
127,1.270,8.000
128,1.280,11.000
129,1.290,6.000
130,1.300,6.000
131,1.310,6.000
132,1.320,6.000
133,1.330,7.000
134,1.340,6.000
135,1.350,3.000
136,1.360,6.000
137,1.370,7.000
138,1.380,8.000
139,1.390,5.000
140,1.400,8.000
141,1.410,6.000
142,1.420,6.000
143,1.430,6.000
144,1.440,5.000
145,1.450,3.000
146,1.460,8.000
147,1.470,11.000
148,1.480,7.000
149,1.490,7.000
150,1.500,10.000
151,1.510,1.000
152,1.520,0.000
153,1.530,5.000
154,1.540,12.000
155,1.550,8.000
156,1.560,10.000
157,1.570,7.000
158,1.580,10.000
159,1.590,6.000
160,1.600,8.000
161,1.610,6.000
162,1.620,6.000
163,1.630,5.000
164,1.640,8.000
165,1.650,5.000
166,1.660,11.000
167,1.670,6.000
168,1.680,1.000
169,1.690,7.000
170,1.700,5.000
171,1.710,3.000
172,1.720,5.000
173,1.730,5.000
174,1.740,7.000
175,1.750,11.000
176,1.760,8.000
177,1.770,0.000
178,1.780,6.000
179,1.790,11.000
180,1.800,12.000
181,1.810,8.000
182,1.820,3.000
183,1.830,1.000
184,1.840,3.000
185,1.850,3.000
186,1.860,8.000
187,1.870,13.000
188,1.880,8.000
189,1.890,8.000
190,1.900,7.000
191,1.910,6.000
192,1.920,10.000
193,1.930,7.000
194,1.940,7.000
195,1.950,8.000
196,1.960,5.000
197,1.970,1.000
198,1.980,8.000
199,1.990,8.000
200,2.000,13.000
201,2.010,5.000
202,2.020,8.000
203,2.030,2.000
204,2.040,12.000
205,2.050,10.000
206,2.060,10.000
207,2.070,6.000
208,2.080,6.000
209,2.090,6.000
210,2.100,5.000
211,2.110,3.000
212,2.120,6.000
213,2.130,8.000
214,2.140,10.000
215,2.150,3.000
216,2.160,5.000
217,2.170,3.000
218,2.180,10.000
219,2.190,7.000
220,2.200,5.000
221,2.210,3.000
222,2.220,8.000
223,2.230,2.000
224,2.240,7.000
225,2.250,3.000
226,2.260,7.000
227,2.270,8.000
228,2.280,8.000
229,2.290,7.000
230,2.300,6.000
231,2.310,7.000
232,2.320,3.000
233,2.330,6.000
234,2.340,6.000
235,2.350,3.000
236,2.360,6.000
237,2.370,5.000
238,2.380,6.000
239,2.390,11.000
240,2.400,7.000
241,2.410,5.000
242,2.420,7.000
243,2.430,6.000
244,2.440,3.000
245,2.450,7.000
246,2.460,7.000
247,2.470,11.000
248,2.480,8.000
249,2.490,6.000
250,2.500,7.000
251,2.510,7.000
252,2.520,8.000
253,2.530,6.000
254,2.540,10.000
255,2.550,11.000
256,2.560,4.000
257,2.570,4.000
258,2.580,6.000
259,2.590,8.000
260,2.600,12.000
261,2.610,6.000
262,2.620,3.000
263,2.630,5.000
264,2.640,10.000
265,2.650,7.000
266,2.660,11.000
267,2.670,8.000
268,2.680,8.000
269,2.690,7.000
270,2.700,4.000
271,2.710,11.000
272,2.720,12.000
273,2.730,5.000
274,2.740,8.000
275,2.750,8.000
276,2.760,1.000
277,2.770,8.000
278,2.780,7.000
279,2.790,4.000
280,2.800,7.000
281,2.810,7.000
282,2.820,8.000
283,2.830,8.000
284,2.840,8.000
285,2.850,6.000
286,2.860,6.000
287,2.870,7.000
288,2.880,5.000
289,2.890,11.000
290,2.900,7.000
291,2.910,6.000
292,2.920,1.000
293,2.930,10.000
294,2.940,8.000
295,2.950,8.000
296,2.960,8.000
297,2.970,8.000
298,2.980,1.000
299,2.990,5.000
300,3.000,10.000
301,3.010,7.000
302,3.020,7.000
303,3.030,4.000
304,3.040,4.000
305,3.050,10.000
306,3.060,1.000
307,3.070,8.000
308,3.080,5.000
309,3.090,8.000
310,3.100,10.000
311,3.110,7.000
312,3.120,10.000
313,3.130,1.000
314,3.140,6.000
315,3.150,5.000
316,3.160,5.000
317,3.170,8.000
318,3.180,8.000
319,3.190,5.000
320,3.200,10.000
321,3.210,2.000
322,3.220,8.000
323,3.230,5.000
324,3.240,10.000
325,3.250,4.000
326,3.260,10.000
327,3.270,0.000
328,3.280,16.000
329,3.290,5.000
330,3.300,3.000
331,3.310,8.000
332,3.320,6.000
333,3.330,10.000
334,3.340,7.000
335,3.350,7.000
336,3.360,4.000
337,3.370,6.000
338,3.380,11.000
339,3.390,7.000
340,3.400,15.000
341,3.410,12.000
342,3.420,5.000
343,3.430,7.000
344,3.440,5.000
345,3.450,2.000
346,3.460,6.000
347,3.470,4.000
348,3.480,7.000
349,3.490,7.000
350,3.500,5.000
351,3.510,10.000
352,3.520,11.000
353,3.530,10.000
354,3.540,10.000
355,3.550,10.000
356,3.560,6.000
357,3.570,7.000
358,3.580,6.000
359,3.590,4.000
360,3.600,7.000
361,3.610,4.000
362,3.620,6.000
363,3.630,7.000
364,3.640,6.000
365,3.650,10.000
366,3.660,10.000
367,3.670,3.000
368,3.680,5.000
369,3.690,6.000
370,3.700,8.000
371,3.710,5.000
372,3.720,8.000
373,3.730,7.000
374,3.740,4.000
375,3.750,12.000
376,3.760,10.000
377,3.770,6.000
378,3.780,13.000
379,3.790,7.000
380,3.800,4.000
381,3.810,4.000
382,3.820,6.000
383,3.830,7.000
384,3.840,6.000
385,3.850,11.000
386,3.860,8.000
387,3.870,7.000
388,3.880,11.000
389,3.890,2.000
390,3.900,5.000
391,3.910,8.000
392,3.920,7.000
393,3.930,8.000
394,3.940,5.000
395,3.950,2.000
396,3.960,1.000
397,3.970,7.000
398,3.980,8.000
399,3.990,5.000
400,4.000,9.000
401,4.010,5.000
402,4.020,10.000
403,4.030,8.000
404,4.040,5.000
405,4.050,7.000
406,4.060,10.000
407,4.070,18.000
408,4.080,2.000
409,4.090,5.000
410,4.100,5.000
411,4.110,8.000
412,4.120,11.000
413,4.130,7.000
414,4.140,10.000
415,4.150,12.000
416,4.160,6.000
417,4.170,5.000
418,4.180,6.000
419,4.190,10.000
420,4.200,5.000
421,4.210,4.000
422,4.220,4.000
423,4.230,6.000
424,4.240,4.000
425,4.250,10.000
426,4.260,12.000
427,4.270,5.000
428,4.280,5.000
429,4.290,8.000
430,4.300,2.000
431,4.310,5.000
432,4.320,0.000
433,4.330,10.000
434,4.340,8.000
435,4.350,8.000
436,4.360,10.000
437,4.370,7.000
438,4.380,5.000
439,4.390,10.000
440,4.400,12.000
441,4.410,5.000
442,4.420,10.000
443,4.430,4.000
444,4.440,1.000
445,4.450,16.000
446,4.460,5.000
447,4.470,11.000
448,4.480,8.000
449,4.490,7.000
450,4.500,2.000
451,4.510,4.000
452,4.520,10.000
453,4.530,7.000
454,4.540,23.000
455,4.550,15.000
456,4.560,6.000
457,4.570,9.000
458,4.580,9.000
459,4.590,7.000
460,4.600,10.000
461,4.610,11.000
