Pixel,mm,Value (Cnt)
0,-36.841,12.000
1,-36.831,7.000
2,-36.821,12.000
3,-36.811,8.000
4,-36.801,3.000
5,-36.790,32.000
6,-36.780,33.000
7,-36.770,31.000
8,-36.760,32.000
9,-36.750,37.000
10,-36.740,34.000
11,-36.730,31.000
12,-36.721,32.000
13,-36.711,32.000
14,-36.701,36.000
15,-36.691,33.000
16,-36.680,8.000
17,-36.670,6.000
18,-36.660,10.000
19,-36.650,6.000
20,-36.640,12.000
21,-36.630,7.000
22,-36.620,8.000
23,-36.610,8.000
24,-36.600,12.000
25,-36.590,8.000
26,-36.579,37.000
27,-36.569,39.000
28,-36.559,33.000
29,-36.549,32.000
30,-36.539,36.000
31,-36.529,36.000
32,-36.520,39.000
33,-36.510,37.000
34,-36.500,32.000
35,-36.490,31.000
36,-36.480,42.000
37,-36.469,5.000
38,-36.459,4.000
39,-36.449,6.000
40,-36.439,10.000
41,-36.429,10.000
42,-36.419,5.000
43,-36.409,10.000
44,-36.399,8.000
45,-36.389,11.000
46,-36.379,8.000
47,-36.368,33.000
48,-36.358,41.000
49,-36.348,33.000
50,-36.338,34.000
51,-36.329,32.000
52,-36.319,29.000
53,-36.309,35.000
54,-36.299,39.000
55,-36.289,37.000
56,-36.279,38.000
57,-36.269,39.000
58,-36.258,11.000
59,-36.248,7.000
60,-36.238,9.000
61,-36.228,19.000
62,-36.218,11.000
63,-36.208,8.000
64,-36.198,7.000
65,-36.188,11.000
66,-36.178,7.000
67,-36.168,7.000
68,-36.158,7.000
69,-36.147,32.000
70,-36.137,31.000
71,-36.128,38.000
72,-36.118,38.000
73,-36.108,39.000
74,-36.098,35.000
75,-36.088,33.000
76,-36.078,37.000
77,-36.068,39.000
78,-36.058,37.000
79,-36.047,6.000
80,-36.037,8.000
81,-36.027,7.000
82,-36.017,6.000
83,-36.007,5.000
84,-35.997,2.000
85,-35.987,8.000
86,-35.977,11.000
87,-35.967,8.000
88,-35.957,8.000
89,-35.947,8.000
90,-35.936,39.000
91,-35.927,33.000
92,-35.917,36.000
93,-35.907,33.000
94,-35.897,34.000
95,-35.887,39.000
96,-35.877,35.000
97,-35.867,38.000
98,-35.857,38.000
99,-35.847,34.000
100,-35.836,12.000
101,-35.826,6.000
102,-35.816,8.000
103,-35.806,10.000
104,-35.796,5.000
105,-35.786,8.000
106,-35.776,10.000
107,-35.766,12.000
108,-35.756,9.000
109,-35.746,8.000
110,-35.736,7.000
111,-35.726,33.000
112,-35.716,36.000
113,-35.706,38.000
114,-35.696,34.000
115,-35.686,37.000
116,-35.676,32.000
117,-35.666,33.000
118,-35.656,34.000
119,-35.646,37.000
120,-35.636,39.000
121,-35.626,33.000
122,-35.615,6.000
123,-35.605,6.000
124,-35.595,8.000
125,-35.585,7.000
126,-35.575,11.000
127,-35.565,8.000
128,-35.555,3.000
129,-35.545,10.000
130,-35.535,5.000
131,-35.525,3.000
132,-35.525,34.000
133,-35.515,38.000
134,-35.505,35.000
135,-35.495,33.000
136,-35.485,40.000
137,-35.475,34.000
138,-35.465,37.000
139,-35.455,33.000
140,-35.445,38.000
141,-35.435,37.000
142,-35.425,34.000
143,-35.414,8.000
144,-35.404,5.000
145,-35.394,2.000
146,-35.384,13.000
147,-35.374,14.000
148,-35.364,8.000
149,-35.354,11.000
150,-35.344,5.000
151,-35.334,5.000
152,-35.324,8.000
153,-35.315,6.000
154,-35.304,35.000
155,-35.294,42.000
156,-35.284,35.000
157,-35.274,38.000
158,-35.264,36.000
159,-35.254,33.000
160,-35.244,39.000
161,-35.234,35.000
162,-35.224,43.000
163,-35.214,35.000
164,-35.203,0.000
165,-35.193,12.000
166,-35.183,12.000
167,-35.173,8.000
168,-35.163,6.000
169,-35.153,8.000
170,-35.143,12.000
171,-35.133,7.000
172,-35.123,9.000
173,-35.114,7.000
174,-35.104,6.000
175,-35.093,32.000
176,-35.083,39.000
177,-35.073,35.000
178,-35.063,34.000
179,-35.053,37.000
180,-35.043,37.000
181,-35.033,39.000
182,-35.023,37.000
183,-35.013,32.000
184,-35.003,33.000
185,-34.992,12.000
186,-34.982,3.000
187,-34.972,7.000
188,-34.962,8.000
189,-34.952,11.000
190,-34.942,5.000
191,-34.932,9.000
192,-34.922,8.000
193,-34.913,10.000
194,-34.903,8.000
195,-34.893,2.000
196,-34.882,33.000
197,-34.872,34.000
198,-34.862,38.000
199,-34.852,35.000
200,-34.842,39.000
201,-34.832,35.000
202,-34.822,37.000
203,-34.812,33.000
204,-34.802,38.000
205,-34.792,37.000
206,-34.782,34.000
207,-34.771,7.000
208,-34.761,7.000
209,-34.751,10.000
210,-34.741,10.000
211,-34.731,10.000
212,-34.721,7.000
213,-34.712,8.000
214,-34.702,6.000
215,-34.692,11.000
216,-34.682,10.000
217,-34.671,35.000
218,-34.661,31.000
219,-34.651,37.000
220,-34.641,37.000
221,-34.631,36.000
222,-34.621,37.000
223,-34.611,38.000
224,-34.601,33.000
225,-34.591,37.000
226,-34.581,37.000
227,-34.571,35.000
228,-34.560,3.000
229,-34.550,2.000
230,-34.540,8.000
231,-34.530,11.000
232,-34.520,7.000
233,-34.511,5.000
234,-34.501,7.000
235,-34.491,10.000
236,-34.481,8.000
237,-34.471,9.000
238,-34.460,29.000
239,-34.450,35.000
240,-34.440,37.000
241,-34.430,28.000
242,-34.420,37.000
243,-34.410,38.000
244,-34.400,38.000
245,-34.390,33.000
246,-34.380,33.000
247,-34.370,35.000
248,-34.360,38.000
249,-34.349,7.000
250,-34.339,6.000
251,-34.329,5.000
252,-34.319,8.000
253,-34.310,8.000
254,-34.300,8.000
255,-34.290,0.000
256,-34.280,6.000
257,-34.270,12.000
258,-34.260,8.000
259,-34.250,8.000
260,-34.239,33.000
261,-34.229,38.000
262,-34.219,33.000
263,-34.209,34.000
264,-34.199,32.000
265,-34.189,34.000
266,-34.179,42.000
267,-34.169,40.000
268,-34.159,37.000
269,-34.149,35.000
270,-34.138,6.000
271,-34.128,8.000
272,-34.119,3.000
273,-34.109,12.000
274,-34.099,10.000
275,-34.089,7.000
276,-34.079,11.000
277,-34.069,8.000
278,-34.059,5.000
279,-34.049,11.000
280,-34.039,6.000
281,-34.028,37.000
282,-34.018,34.000
283,-34.008,29.000
284,-33.998,35.000
285,-33.988,34.000
286,-33.978,38.000
287,-33.968,38.000
288,-33.958,31.000
289,-33.948,35.000
290,-33.938,35.000
291,-33.927,7.000
292,-33.918,1.000
293,-33.908,7.000
294,-33.898,8.000
295,-33.888,10.000
296,-33.878,4.000
297,-33.868,1.000
298,-33.858,8.000
299,-33.848,13.000
300,-33.838,5.000
301,-33.828,10.000
302,-33.817,39.000
303,-33.807,37.000
304,-33.797,33.000
305,-33.787,38.000
306,-33.777,37.000
307,-33.767,36.000
308,-33.757,38.000
309,-33.747,36.000
310,-33.737,38.000
311,-33.727,32.000
312,-33.717,37.000
313,-33.707,2.000
314,-33.697,7.000
315,-33.687,8.000
316,-33.677,8.000
317,-33.667,5.000
318,-33.657,16.000
319,-33.647,8.000
320,-33.637,13.000
321,-33.627,8.000
322,-33.617,6.000
323,-33.606,28.000
324,-33.596,34.000
325,-33.586,36.000
326,-33.576,32.000
327,-33.566,32.000
328,-33.556,34.000
329,-33.546,31.000
330,-33.536,32.000
331,-33.526,36.000
332,-33.516,40.000
333,-33.507,34.000
334,-33.496,11.000
335,-33.486,6.000
336,-33.476,11.000
337,-33.466,6.000
338,-33.456,11.000
339,-33.446,8.000
340,-33.436,10.000
341,-33.426,7.000
342,-33.416,7.000
343,-33.406,12.000
344,-33.395,32.000
345,-33.385,34.000
346,-33.375,40.000
347,-33.365,36.000
348,-33.355,37.000
349,-33.345,34.000
350,-33.335,38.000
351,-33.325,32.000
352,-33.315,39.000
353,-33.306,33.000
354,-33.296,36.000
355,-33.285,6.000
356,-33.275,8.000
357,-33.265,6.000
358,-33.255,7.000
359,-33.245,2.000
360,-33.235,8.000
361,-33.225,5.000
362,-33.215,4.000
363,-33.205,7.000
364,-33.195,21.000
365,-33.184,31.000
366,-33.174,36.000
367,-33.164,36.000
368,-33.154,35.000
369,-33.144,34.000
370,-33.134,37.000
371,-33.124,33.000
372,-33.114,37.000
373,-33.105,33.000
374,-33.095,30.000
375,-33.084,10.000
376,-33.074,7.000
377,-33.064,11.000
378,-33.054,5.000
379,-33.044,4.000
380,-33.034,11.000
381,-33.024,6.000
382,-33.014,6.000
383,-33.004,8.000
384,-32.994,7.000
385,-32.984,7.000
386,-32.973,34.000
387,-32.963,32.000
388,-32.953,37.000
389,-32.943,37.000
390,-32.933,36.000
391,-32.923,37.000
392,-32.913,37.000
393,-32.904,34.000
394,-32.894,38.000
395,-32.884,42.000
396,-32.874,39.000
397,-32.863,1.000
398,-32.853,7.000
399,-32.843,12.000
400,-32.833,13.000
401,-32.823,10.000
402,-32.813,10.000
403,-32.803,4.000
404,-32.793,8.000
405,-32.783,12.000
406,-32.773,11.000
407,-32.762,41.000
408,-32.752,36.000
409,-32.742,39.000
410,-32.732,31.000
411,-32.722,42.000
412,-32.712,38.000
413,-32.703,33.000
