Pixel,mm,Value (Cnt)
0,-31.192,3.000
1,-31.182,34.000
2,-31.171,2.000
3,-31.161,32.000
4,-31.151,6.000
5,-31.141,32.000
6,-31.131,1.000
7,-31.121,34.000
8,-31.111,0.000
9,-31.101,34.000
10,-31.091,1.000
11,-31.081,36.000
12,-31.072,2.000
13,-31.061,32.000
14,-31.051,3.000
15,-31.041,31.000
16,-31.031,8.000
17,-31.021,34.000
18,-31.011,0.000
19,-31.001,36.000
20,-30.991,2.000
21,-30.981,30.000
22,-30.971,2.000
23,-30.960,37.000
24,-30.950,0.000
25,-30.940,38.000
26,-30.930,1.000
27,-30.920,30.000
28,-30.910,6.000
29,-30.900,37.000
30,-30.890,0.000
31,-30.880,31.000
32,-30.871,4.000
33,-30.861,33.000
34,-30.850,0.000
35,-30.840,41.000
36,-30.830,1.000
37,-30.820,28.000
38,-30.810,0.000
39,-30.800,32.000
40,-30.790,0.000
41,-30.780,32.000
42,-30.770,0.000
43,-30.760,35.000
44,-30.749,4.000
45,-30.739,29.000
46,-30.729,6.000
47,-30.719,37.000
48,-30.709,0.000
49,-30.699,31.000
50,-30.689,1.000
51,-30.679,32.000
52,-30.670,2.000
53,-30.660,35.000
54,-30.650,2.000
55,-30.639,37.000
56,-30.629,1.000
57,-30.619,33.000
58,-30.609,4.000
59,-30.599,31.000
60,-30.589,0.000
61,-30.579,35.000
62,-30.569,1.000
63,-30.559,42.000
64,-30.549,0.000
65,-30.539,32.000
66,-30.528,7.000
67,-30.518,35.000
68,-30.508,3.000
69,-30.498,38.000
70,-30.488,2.000
71,-30.478,33.000
72,-30.469,0.000
73,-30.459,33.000
74,-30.449,4.000
75,-30.439,32.000
76,-30.428,0.000
77,-30.418,30.000
78,-30.408,1.000
79,-30.398,31.000
80,-30.388,7.000
81,-30.378,31.000
82,-30.368,0.000
83,-30.358,31.000
84,-30.348,1.000
85,-30.338,31.000
86,-30.328,0.000
87,-30.317,33.000
88,-30.307,7.000
89,-30.297,36.000
90,-30.287,0.000
91,-30.277,36.000
92,-30.268,6.000
93,-30.258,36.000
94,-30.248,0.000
95,-30.238,32.000
96,-30.228,2.000
97,-30.217,33.000
98,-30.207,0.000
99,-30.197,30.000
100,-30.187,4.000
101,-30.177,33.000
102,-30.167,0.000
103,-30.157,43.000
104,-30.147,7.000
105,-30.137,32.000
106,-30.127,2.000
107,-30.117,35.000
108,-30.106,12.000
109,-30.096,41.000
110,-30.086,1.000
111,-30.077,35.000
112,-30.067,3.000
113,-30.057,30.000
114,-30.047,0.000
115,-30.037,32.000
116,-30.027,0.000
117,-30.017,36.000
118,-30.007,5.000
119,-29.996,30.000
120,-29.986,0.000
121,-29.976,38.000
122,-29.966,0.000
123,-29.956,39.000
124,-29.946,0.000
125,-29.936,35.000
126,-29.926,0.000
127,-29.916,32.000
128,-29.906,0.000
129,-29.895,36.000
130,-29.885,6.000
131,-29.876,37.000
132,-29.866,0.000
133,-29.856,35.000
134,-29.846,8.000
135,-29.836,41.000
136,-29.826,0.000
137,-29.816,39.000
138,-29.806,5.000
139,-29.796,37.000
140,-29.785,3.000
141,-29.775,40.000
142,-29.765,2.000
143,-29.755,31.000
144,-29.745,7.000
145,-29.735,35.000
146,-29.725,5.000
147,-29.715,32.000
148,-29.705,3.000
149,-29.695,42.000
150,-29.684,9.000
151,-29.675,41.000
152,-29.665,12.000
153,-29.655,36.000
154,-29.645,3.000
155,-29.635,32.000
156,-29.625,8.000
157,-29.615,32.000
158,-29.605,4.000
