Pixel,mm,Value (Cnt)
0,0.000,1.000
1,0.010,40.000
2,0.020,7.000
3,0.030,39.000
4,0.040,4.000
5,0.050,37.000
6,0.060,3.000
7,0.070,30.000
8,0.080,0.000
9,0.090,34.000
10,0.100,2.000
11,0.110,37.000
12,0.120,1.000
13,0.130,39.000
14,0.140,0.000
15,0.150,34.000
16,0.160,3.000
17,0.170,29.000
18,0.180,0.000
19,0.190,31.000
20,0.200,0.000
21,0.210,34.000
22,0.220,1.000
23,0.230,39.000
24,0.240,4.000
25,0.250,37.000
26,0.260,0.000
27,0.270,28.000
28,0.280,3.000
29,0.290,30.000
30,0.300,1.000
31,0.310,37.000
32,0.320,9.000
33,0.330,32.000
34,0.340,0.000
35,0.350,37.000
36,0.360,8.000
37,0.370,34.000
38,0.380,10.000
39,0.390,37.000
40,0.400,0.000
41,0.410,35.000
42,0.420,6.000
43,0.430,26.000
44,0.440,1.000
45,0.450,30.000
46,0.460,0.000
47,0.470,38.000
48,0.480,0.000
49,0.490,40.000
50,0.500,3.000
51,0.510,37.000
52,0.520,4.000
53,0.530,31.000
54,0.540,2.000
55,0.550,33.000
56,0.560,0.000
57,0.570,37.000
58,0.580,7.000
59,0.590,30.000
60,0.600,0.000
61,0.610,32.000
62,0.620,3.000
63,0.630,38.000
64,0.640,3.000
65,0.650,37.000
66,0.660,1.000
67,0.670,38.000
68,0.680,0.000
69,0.690,33.000
70,0.700,0.000
71,0.710,37.000
72,0.720,0.000
73,0.730,29.000
74,0.740,2.000
75,0.750,36.000
76,0.760,0.000
77,0.770,35.000
78,0.780,2.000
79,0.790,27.000
80,0.800,4.000
81,0.810,41.000
82,0.820,1.000
83,0.830,32.000
84,0.840,1.000
85,0.850,33.000
86,0.860,0.000
87,0.870,39.000
88,0.880,7.000
89,0.890,37.000
90,0.900,0.000
91,0.910,35.000
92,0.920,8.000
93,0.930,32.000
94,0.940,0.000
95,0.950,33.000
96,0.960,3.000
97,0.970,27.000
98,0.980,0.000
99,0.990,37.000
100,1.000,8.000
101,1.010,36.000
102,1.020,0.000
103,1.030,29.000
104,1.040,0.000
105,1.050,30.000
106,1.060,8.000
107,1.070,37.000
108,1.080,5.000
109,1.090,38.000
110,1.100,5.000
111,1.110,33.000
112,1.120,5.000
113,1.130,32.000
114,1.140,0.000
115,1.150,33.000
116,1.160,8.000
117,1.170,41.000
118,1.180,0.000
119,1.190,36.000
120,1.200,3.000
121,1.210,35.000
122,1.220,0.000
123,1.230,32.000
124,1.240,1.000
125,1.250,26.000
126,1.260,3.000
127,1.270,32.000
128,1.280,4.000
129,1.290,35.000
130,1.300,8.000
131,1.310,41.000
132,1.320,8.000
133,1.330,72.000
134,1.340,2.000
135,1.350,32.000
136,1.360,1.000
137,1.370,31.000
138,1.380,3.000
139,1.390,32.000
140,1.400,3.000
141,1.410,38.000
142,1.420,0.000
143,1.430,31.000
144,1.440,5.000
145,1.450,30.000
146,1.460,4.000
147,1.470,38.000
148,1.480,4.000
149,1.490,36.000
150,1.500,9.000
151,1.510,37.000
152,1.520,1.000
153,1.530,33.000
154,1.540,9.000
155,1.550,39.000
156,1.560,13.000
157,1.570,37.000
158,1.580,1.000
159,1.590,37.000
160,1.600,5.000
161,1.610,41.000
162,1.620,10.000
163,1.630,36.000
164,1.640,7.000
165,1.650,31.000
166,1.660,7.000
167,1.670,38.000
168,1.680,7.000
169,1.690,37.000
170,1.700,10.000
171,1.710,41.000
172,1.720,9.000
173,1.730,36.000
174,1.740,0.000
175,1.750,33.000
176,1.760,5.000
177,1.770,38.000
178,1.780,7.000
179,1.790,39.000
180,1.800,5.000
181,1.810,42.000
182,1.820,0.000
183,1.830,33.000
184,1.840,9.000
185,1.850,37.000
186,1.860,3.000
187,1.870,36.000
188,1.880,3.000
189,1.890,36.000
190,1.900,10.000
191,1.910,36.000
192,1.920,8.000
193,1.930,36.000
194,1.940,3.000
195,1.950,38.000
196,1.960,7.000
197,1.970,44.000
198,1.980,8.000
199,1.990,41.000
200,2.000,0.000
201,2.010,32.000
202,2.020,4.000
203,2.030,38.000
204,2.040,7.000
205,2.050,31.000
206,2.060,0.000
207,2.070,33.000
208,2.080,7.000
209,2.090,31.000
210,2.100,5.000
211,2.110,37.000
212,2.120,1.000
213,2.130,38.000
214,2.140,3.000
215,2.150,41.000
216,2.160,1.000
217,2.170,31.000
218,2.180,8.000
219,2.190,35.000
220,2.200,8.000
221,2.210,36.000
222,2.220,0.000
223,2.230,33.000
224,2.240,10.000
225,2.250,33.000
226,2.260,0.000
227,2.270,32.000
228,2.280,14.000
229,2.290,31.000
230,2.300,0.000
231,2.310,42.000
232,2.320,3.000
233,2.330,38.000
234,2.340,2.000
235,2.350,32.000
236,2.360,4.000
237,2.370,35.000
238,2.380,4.000
239,2.390,32.000
240,2.400,8.000
241,2.410,32.000
242,2.420,1.000
243,2.430,38.000
244,2.440,11.000
245,2.450,31.000
246,2.460,4.000
247,2.470,41.000
248,2.480,2.000
249,2.490,36.000
250,2.500,7.000
251,2.510,33.000
252,2.520,8.000
253,2.530,36.000
254,2.540,5.000
255,2.550,31.000
256,2.560,2.000
257,2.570,36.000
258,2.580,0.000
259,2.590,35.000
260,2.600,9.000
261,2.610,32.000
262,2.620,10.000
263,2.630,33.000
264,2.640,10.000
265,2.650,38.000
266,2.660,3.000
267,2.670,39.000
268,2.680,9.000
269,2.690,44.000
270,2.700,0.000
271,2.710,31.000
272,2.720,3.000
273,2.730,33.000
274,2.740,3.000
275,2.750,36.000
276,2.760,3.000
277,2.770,40.000
278,2.780,7.000
279,2.790,35.000
280,2.800,4.000
281,2.810,36.000
282,2.820,4.000
283,2.830,35.000
284,2.840,0.000
285,2.850,26.000
286,2.860,3.000
287,2.870,32.000
288,2.880,4.000
289,2.890,42.000
290,2.900,3.000
291,2.910,36.000
292,2.920,6.000
293,2.930,33.000
294,2.940,3.000
295,2.950,32.000
296,2.960,4.000
297,2.970,32.000
298,2.980,5.000
299,2.990,38.000
300,3.000,0.000
301,3.010,40.000
302,3.020,4.000
303,3.030,37.000
304,3.040,1.000
305,3.050,38.000
306,3.060,5.000
307,3.070,36.000
308,3.080,8.000
309,3.090,30.000
310,3.100,0.000
311,3.110,30.000
312,3.120,3.000
313,3.130,42.000
314,3.140,7.000
315,3.150,40.000
316,3.160,3.000
317,3.170,40.000
318,3.180,0.000
319,3.190,35.000
320,3.200,12.000
321,3.210,34.000
322,3.220,3.000
323,3.230,42.000
324,3.240,0.000
325,3.250,42.000
326,3.260,3.000
327,3.270,38.000
328,3.280,0.000
329,3.290,31.000
330,3.300,3.000
331,3.310,43.000
332,3.320,1.000
333,3.330,34.000
334,3.340,7.000
335,3.350,42.000
336,3.360,0.000
337,3.370,36.000
338,3.380,10.000
339,3.390,43.000
340,3.400,0.000
341,3.410,37.000
342,3.420,3.000
343,3.430,43.000
344,3.440,10.000
345,3.450,35.000
346,3.460,5.000
347,3.470,44.000
348,3.480,2.000
349,3.490,38.000
350,3.500,8.000
351,3.510,40.000
352,3.520,15.000
353,3.530,35.000
354,3.540,0.000
355,3.550,36.000
356,3.560,2.000
357,3.570,38.000
358,3.580,3.000
359,3.590,37.000
360,3.600,3.000
361,3.610,32.000
362,3.620,5.000
363,3.630,35.000
364,3.640,3.000
365,3.650,37.000
366,3.660,13.000
367,3.670,27.000
368,3.680,9.000
369,3.690,40.000
370,3.700,3.000
371,3.710,41.000
372,3.720,8.000
373,3.730,44.000
374,3.740,0.000
375,3.750,34.000
376,3.760,12.000
377,3.770,36.000
378,3.780,9.000
379,3.790,40.000
380,3.800,9.000
381,3.810,40.000
382,3.820,6.000
383,3.830,34.000
384,3.840,2.000
385,3.850,48.000
386,3.860,7.000
387,3.870,40.000
388,3.880,0.000
389,3.890,30.000
390,3.900,10.000
391,3.910,40.000
392,3.920,10.000
393,3.930,41.000
394,3.940,12.000
395,3.950,36.000
396,3.960,2.000
397,3.970,47.000
398,3.980,2.000
399,3.990,46.000
400,4.000,9.000
401,4.010,43.000
402,4.020,4.000
403,4.030,34.000
404,4.040,12.000
405,4.050,32.000
406,4.060,4.000
407,4.070,32.000
408,4.080,13.000
409,4.090,47.000
410,4.100,1.000
411,4.110,46.000
412,4.120,10.000
413,4.130,42.000
414,4.140,2.000
415,4.150,48.000
416,4.160,6.000
417,4.170,41.000
418,4.180,9.000
419,4.190,42.000
420,4.200,6.000
421,4.210,36.000
422,4.220,13.000
423,4.230,48.000
424,4.240,1.000
425,4.250,44.000
426,4.260,6.000
427,4.270,35.000
